poi_id;writer;keyword;wrating;wtime;mlocation;review;ids;titlen;mrating;mtipe;wlocation;mtotreview;wlocationlat;wlocationlong
9;Arizaldi A;sate, west java, government office, bandung city, iconic building, public building, pullman hotel, photo op, green garden, nice building, beautiful architecture, dutch architect, take pictures, pre wedding, visit this place, visit bandung, governor;40;2017/4/17;-6.901336,107.61877;Great for photo taking. Gasibu field in front of it. Local food and snack seller around. Avoid come in the crowded weekend and rush hour weekday.;476646782;Nice place to visit - Gedung Sate;40;Architectural Buildings, Sights & Landmarks ;Jakarta, Indonesia;430;-6.17511;106.865039
1;donna_tobing;braga permai, old buildings, night life, art galleries, nice walk, dutch colonial era, cup of coffee, young people, saturday night, bandung city, heritage building, walk around, nice place, alun alun, take pictures, paris van java, visit bandung;40;2017/9/6;-6.917027,107.60911;The Braga's street serve everyone with a clean environment, nice situation, many kind of restaurant which are fulfill with cozy sorrounding and of should taste delicious ice cream by sitting on the chair... So relaxing....;521892366;Walking down the Braga's street, taste... - Braga Street;40;Neighborhoods, Other, Sights & Landmarks ;Bandung, Indonesia;1509;-6.917464;107.619123
9;sanghaya;sate, west java, government office, bandung city, iconic building, public building, pullman hotel, photo op, green garden, nice building, beautiful architecture, dutch architect, take pictures, pre wedding, visit this place, visit bandung, governor;30;2017/6/15;-6.901336,107.61877;People say that you really haven't been to Bandung if you do not have a picture of yourself with the Gedung Sate as background. This piqued my curiosity so we checked it out. It was an after-the-rain affair so things are kind of soaked up.Nothing really to see as you are not allowed to go in. Simply bask on the sight of it outside its fence. Though, it was really nerve wracking trying to cross the street as vehicles moved so fast (and sometimes not really minding the pedestrians). ;493394883;Average though people say it's a... - Gedung Sate;40;Architectural Buildings, Sights & Landmarks ;Philippines;430;12.879721;121.774017
9;Momtravelwithtoddler;sate, west java, government office, bandung city, iconic building, public building, pullman hotel, photo op, green garden, nice building, beautiful architecture, dutch architect, take pictures, pre wedding, visit this place, visit bandung, governor;30;2017/6/24;-6.901336,107.61877;Was here on Hari Eid. Public holiday , hence closed. Nothing much to see. Building got its name from the top of the building that looks like a sate stick sticking out. ;495766304;Just a government office in a heritage... - Gedung Sate;40;Architectural Buildings, Sights & Landmarks ;Philippines;430;12.879721;121.774017
11;fatimadinaa;world war, flash light, proper shoes, small waterfall, trail run, walk approx, admission price is, local guide, rainy season, motor taxi, km hike, water fall, beautiful nature, big trees, sport shoes, instant noodle, the main attraction;40;2017/5/19;-6.857436,107.63119;I loved to run or walk on Sunday morning for a refreshment after a week of working. And this place is a really good place to refresh your mind. Offers you clean air and beautiful view. You can also visit the 'Penangkaran Rusa' to see the cute deer and feed them. You need to walk approx. 4 km, but totally worth it. You can use 'ojeg' as well if you're too tired to walk.;485548460;Peaceful Place - Forest Park Conservation Area Tahura Ir. H. Juanda;40;Nature & Wildlife Areas, Nature & Parks ;Maumere, Indonesia;303;-8.624551;122.214696
14;Alvean M;hot water, tangkuban perahu, private rooms, warm temperature, spring water, foot massage, pay additional, fish spa, visited this place, nice view, fresh air, nice place, dip, soaking, midnite, skin, subang;30;2017/7/3;-6.738654,107.6536;Constant flow from natural hot spring great soaking for the family to rejuvenate and enjoy nature. can be quite slippery and steep to get to the actual hotel spring area, so be careful.;498411475;Therapeutic soak for great skin - Sari Ater Hot Spring;35;Hot Springs & Geysers, Nature & Parks ;Singapore, Singapore;492;1.352083;103.819836
14;CasChen;hot water, tangkuban perahu, private rooms, warm temperature, spring water, foot massage, pay additional, fish spa, visited this place, nice view, fresh air, nice place, dip, soaking, midnite, skin, subang;30;2017/6/10;-6.738654,107.6536;Went there with family. Good place to visit for hot spring. You can select the level of hot spring depending on your requirement;492086857;Hot spring - Sari Ater Hot Spring;35;Hot Springs & Geysers, Nature & Parks ;Singapore, Singapore;492;1.352083;103.819836
5;Mike M;food court, fish ponds, one stop shopping, branded clothes, nice place to shop, shop till you drop, wide range, coffee shop, reasonable price, shopping heaven, t shirt, shopping place, many choices, parking space, food stalls, visit this place, visit bandung;40;2017/9/25;-6.882722,107.59944;Very reasonable prices for a number of fashion lines. Mens range is not as diverse as womens but still some good bargains to be had. Some nice cafe style eating places and Java Bean coffee shop.;525632615;Good value - Rumah Mode Factory Outlet;40;Factory Outlets, Shopping ;Malaysia;973;4.210484;101.975766
12;waver20;beautiful lake, tea plantation, love rock, pedal boat, high altitude, nice pictures, fresh air, from afar, green view, body and soul, extra money, nice place to visit, cool weather, local food, strawberry farm, public transportation, west java;40;2017/5/3;-7.12257,107.42426;Get bored in routines there is such a way to eliminate them. Let's enjoy the beauty lake surrounding tea plantation. At the mountain region very high altitude in the southern of Bandung you would feel deep cold sensation and you need a sweater when you get there. Clean and calm lake surrounding by mountain and a lot of traditional boat w/without would bring you around the lake. Good for family and coyples You will not be dissappointed, don't miss it.;481484838;Nice again travelling to beauty lake - Patenggang Lake;35;Other Nature & Parks, Bodies of Water, Mountains, Nature & Parks ;Pekanbaru;379;0.507068;101.447779
7;ariyanti d;shopping mall, ice skating, international brands, nice mall, mango, burger king, nice concept, parking space, department store, f b, the ground floor, cafes and restaurants, branded stuff, traffic jam, nice place, many choices, coffee shop;30;2017/9/25;-6.889453,107.59608;Drop off area nyaa gak enak untuk menunggu jemputan, sempit. Please provide some decent seats for visitors.;526164828;Just another mall - Paris Van Java;40;Shopping Malls, Shopping ;Bandung, Jawa Barat, Indonesia;894;-6.917464;107.619123
